ItemName,Brand,Category,StockQty,ArrivalDate,ExpiryDate,DaysUntilExpiry,DailySaleAvg,SpoilageChance,SuggestedAction,StoreLocation,IsSpoiled,OnPromotion,TemperatureSensitive,StoreID,Zone,TemperatureSupport,DistanceToNearestStore,AvgDailySaleInNearbyStores
Bingo Mad Angles,ITC,Snacks,92,20-06-2025,28-06-2025,0.5,12.1,1.0,donate,Chennai,False,No,False,Chennai_0,,,6.1,13.178196371286637
Multigrain Cookies,Sunfeast,Bakery,224,18-06-2025,29-06-2025,1.0,9.0,1.0,donate,Kanpur,True,No,False,Kanpur_0,,,5.0,8.98111835739282
Nestlé Yogurt 150g,Nestlé,Dairy,201,23-06-2025,26-06-2025,0.5,20.1,1.0,donate,Mumbai,False,Yes,True,Mumbai_0,West,False,10.3,17.169272791481962
Tomato 1kg,Local Farmer,Produce,204,18-06-2025,21-06-2025,0.5,9.7,1.0,donate,Kanpur,False,Yes,True,Kanpur_1,,,8.8,11.07599655764262
Banana 6pcs,Local Farmer,Produce,154,14-06-2025,21-06-2025,0.5,5.6,1.0,donate,Mumbai,True,Yes,True,Mumbai_1,West,False,10.4,4.6414597333190555
Nestlé Yogurt 150g,Nestlé,Dairy,262,16-06-2025,20-06-2025,0.5,2.0,1.0,donate,Delhi,True,No,True,Delhi_0,North,True,12.8,1.9979465960935092
Lays Chips 100g,PepsiCo,Snacks,232,23-06-2025,03-07-2025,5.0,9.7,0.96,donate,Kanpur,False,No,False,Kanpur_2,,,6.1,8.330349530467792
Mutton Mince 250g,Godrej,Meat,295,26-06-2025,03-07-2025,5.0,24.6,0.48,none,Bangalore,False,No,True,Bangalore_0,,,14.7,25.49873415828835
Amul Milk 500ml,Amul,Dairy,12,26-06-2025,30-06-2025,2.0,4.6,0.26,none,Chennai,False,No,True,Chennai_1,,,2.7,4.323283412622314
Chicken Breast 500g,Godrej,Meat,260,25-06-2025,05-07-2025,7.0,13.0,0.57,monitor,Delhi,False,Yes,True,Delhi_1,North,True,4.3,13.056745783367658
Brown Bun Pack,Harvest Gold,Bakery,32,24-06-2025,27-06-2025,0.5,21.3,0.6,monitor,Delhi,False,No,False,Delhi_2,North,True,13.4,18.638055308412195
Mother Dairy Butter 100g,Mother Dairy,Dairy,220,19-06-2025,23-06-2025,0.5,13.7,1.0,donate,Kanpur,False,No,True,Kanpur_3,,,11.7,13.74722070854663
Lays Chips 100g,PepsiCo,Snacks,144,14-06-2025,24-06-2025,0.5,13.6,1.0,donate,Chennai,True,No,False,Chennai_2,,,8.6,15.228350037244736
Kurkure Masala,PepsiCo,Snacks,59,20-06-2025,23-06-2025,0.5,12.2,1.0,donate,Chennai,True,Yes,False,Chennai_3,,,13.1,12.034553856048333
Brown Bun Pack,Harvest Gold,Bakery,90,26-06-2025,08-07-2025,10.0,22.4,0.08,none,Chennai,False,Yes,False,Chennai_4,,,12.1,21.381762811874175
Spinach Bunch,Local Farmer,Produce,253,12-06-2025,15-06-2025,0.5,12.6,1.0,donate,Kanpur,True,Yes,True,Kanpur_4,,,11.0,12.784893077313457
Spinach Bunch,Local Farmer,Produce,145,15-06-2025,22-06-2025,0.5,15.8,1.0,donate,Kanpur,True,No,True,Kanpur_5,,,14.6,13.671372729104679
Nestlé Yogurt 150g,Nestlé,Dairy,267,13-06-2025,16-06-2025,0.5,21.8,1.0,donate,Bangalore,False,No,True,Bangalore_1,,,11.8,17.509534591270622
Brown Bun Pack,Harvest Gold,Bakery,247,25-06-2025,03-07-2025,5.0,10.0,0.99,donate,Chennai,False,No,False,Chennai_5,,,11.7,9.18473360546113
Fish Fillet 300g,FreshCatch,Meat,228,23-06-2025,27-06-2025,0.5,20.6,1.0,donate,Bangalore,True,No,True,Bangalore_2,,,8.8,18.628306019960757
Mutton Mince 250g,Godrej,Meat,265,15-06-2025,19-06-2025,0.5,1.7,1.0,donate,Delhi,True,Yes,True,Delhi_3,North,True,3.9,1.7582630979301153
Bingo Mad Angles,ITC,Snacks,63,25-06-2025,02-07-2025,4.0,14.9,0.21,none,Mumbai,False,No,False,Mumbai_2,West,False,7.8,13.991406596879864
Kurkure Masala,PepsiCo,Snacks,283,12-06-2025,15-06-2025,0.5,12.9,1.0,donate,Chennai,True,No,False,Chennai_6,,,6.2,14.039093464301198
Lays Chips 100g,PepsiCo,Snacks,116,14-06-2025,22-06-2025,0.5,7.0,1.0,donate,Kanpur,True,Yes,False,Kanpur_6,,,5.5,7.8726259005084245
Chicken Breast 500g,Godrej,Meat,47,19-06-2025,25-06-2025,0.5,10.3,1.0,donate,Delhi,False,Yes,True,Delhi_4,North,True,12.4,12.047109475475253
Brown Bun Pack,Harvest Gold,Bakery,222,18-06-2025,22-06-2025,0.5,23.4,1.0,donate,Mumbai,True,No,False,Mumbai_3,West,False,7.5,25.50253095085909
Mutton Mince 250g,Godrej,Meat,96,19-06-2025,01-07-2025,3.0,22.0,0.29,none,Delhi,False,Yes,True,Delhi_5,North,True,3.7,23.368097843347567
Kurkure Masala,PepsiCo,Snacks,224,24-06-2025,06-07-2025,8.0,3.6,1.0,donate,Bangalore,True,Yes,False,Bangalore_3,,,9.7,4.092703423630954
Multigrain Cookies,Sunfeast,Bakery,60,25-06-2025,30-06-2025,2.0,10.4,0.58,monitor,Kanpur,False,No,False,Kanpur_7,,,9.6,9.98200467382371
White Bread,Harvest Gold,Bakery,261,25-06-2025,04-07-2025,6.0,20.0,0.43,none,Bangalore,False,No,False,Bangalore_4,,,13.3,19.471692323565197
Chicken Breast 500g,Godrej,Meat,263,19-06-2025,24-06-2025,0.5,14.3,1.0,donate,Delhi,True,Yes,True,Delhi_6,North,True,6.9,14.1371559016738
Amul Milk 500ml,Amul,Dairy,185,12-06-2025,23-06-2025,0.5,8.9,1.0,donate,Bangalore,False,No,True,Bangalore_5,,,9.6,10.489396985263976
Spinach Bunch,Local Farmer,Produce,268,16-06-2025,24-06-2025,0.5,4.9,1.0,donate,Delhi,False,Yes,True,Delhi_7,North,True,3.9,5.049429827839362
Fish Fillet 300g,FreshCatch,Meat,206,18-06-2025,29-06-2025,1.0,17.1,1.0,donate,Bangalore,True,No,True,Bangalore_6,,,11.7,16.774538800564105
Bingo Mad Angles,ITC,Snacks,60,22-06-2025,03-07-2025,5.0,21.6,0.11,none,Delhi,False,Yes,False,Delhi_8,North,True,13.5,19.394049193122676
Chicken Breast 500g,Godrej,Meat,100,26-06-2025,05-07-2025,7.0,2.8,1.0,donate,Kanpur,True,Yes,True,Kanpur_8,,,3.8,3.057532088603736
Brown Bun Pack,Harvest Gold,Bakery,39,19-06-2025,30-06-2025,2.0,10.3,0.38,none,Chennai,False,No,False,Chennai_7,,,9.2,11.742330189454153
Fish Fillet 300g,FreshCatch,Meat,40,21-06-2025,25-06-2025,0.5,12.5,1.0,donate,Chennai,True,Yes,True,Chennai_8,,,7.2,11.247595042159588
Kurkure Masala,PepsiCo,Snacks,148,12-06-2025,19-06-2025,0.5,0.6,1.0,donate,Delhi,True,No,False,Delhi_9,North,True,4.9,0.7125352148857804
Fish Fillet 300g,FreshCatch,Meat,37,15-06-2025,18-06-2025,0.5,4.2,1.0,donate,Mumbai,True,Yes,True,Mumbai_4,West,False,7.9,3.669707921238142
White Bread,Harvest Gold,Bakery,162,26-06-2025,02-07-2025,4.0,14.2,0.57,monitor,Bangalore,False,No,False,Bangalore_7,,,5.5,12.600092038979565
Bingo Mad Angles,ITC,Snacks,289,27-06-2025,07-07-2025,9.0,13.2,0.49,none,Kanpur,False,No,False,Kanpur_9,,,12.7,10.857347492348099
Mutton Mince 250g,Godrej,Meat,271,22-06-2025,04-07-2025,6.0,8.9,1.0,donate,Delhi,False,No,True,Delhi_10,North,True,2.3,8.311994451510696
Amul Milk 500ml,Amul,Dairy,11,16-06-2025,28-06-2025,0.5,14.1,0.31,none,Chennai,False,Yes,True,Chennai_9,,,8.5,16.390997538160125
Nestlé Yogurt 150g,Nestlé,Dairy,217,16-06-2025,24-06-2025,0.5,2.8,1.0,donate,Delhi,False,No,True,Delhi_11,North,True,14.9,2.616908010993007
Lays Chips 100g,PepsiCo,Snacks,165,21-06-2025,24-06-2025,0.5,13.4,1.0,donate,Chennai,True,Yes,False,Chennai_10,,,13.1,13.44976881297342
Bingo Mad Angles,ITC,Snacks,26,15-06-2025,24-06-2025,0.5,13.7,0.76,discount,Kanpur,False,No,False,Kanpur_10,,,8.1,12.961849562308917
Spinach Bunch,Local Farmer,Produce,115,16-06-2025,23-06-2025,0.5,22.4,1.0,donate,Kanpur,True,Yes,True,Kanpur_11,,,13.4,22.221072305584546
Brown Bun Pack,Harvest Gold,Bakery,42,14-06-2025,17-06-2025,0.5,24.3,0.69,monitor,Kanpur,False,Yes,False,Kanpur_12,,,2.2,26.642722144997595
Mother Dairy Butter 100g,Mother Dairy,Dairy,38,18-06-2025,28-06-2025,0.5,12.7,1.0,donate,Bangalore,True,No,True,Bangalore_8,,,7.8,12.785956280752707
Kurkure Masala,PepsiCo,Snacks,148,12-06-2025,19-06-2025,0.5,0.6,1.0,donate,Delhi,True,No,False,Delhi_12,North,True,2.6,0.5083488890258426
Multigrain Cookies,Sunfeast,Bakery,60,25-06-2025,30-06-2025,2.0,10.4,0.58,monitor,Kanpur,False,No,False,Kanpur_13,,,8.4,9.98253092546004
Brown Bun Pack,Harvest Gold,Bakery,90,26-06-2025,08-07-2025,10.0,22.4,0.08,none,Chennai,False,Yes,False,Chennai_11,,,8.1,23.620404920821787
Mutton Mince 250g,Godrej,Meat,271,22-06-2025,04-07-2025,6.0,8.9,1.0,donate,Delhi,False,No,True,Delhi_13,North,True,6.1,10.309820923609259
Mutton Mince 250g,Godrej,Meat,295,26-06-2025,03-07-2025,5.0,24.6,0.48,none,Bangalore,False,No,True,Bangalore_9,,,4.5,25.216302860821326
Mutton Mince 250g,Godrej,Meat,265,15-06-2025,19-06-2025,0.5,1.7,1.0,donate,Delhi,True,Yes,True,Delhi_14,North,True,5.8,1.6182931314505011
Kurkure Masala,PepsiCo,Snacks,148,12-06-2025,19-06-2025,0.5,0.6,1.0,donate,Delhi,True,No,False,Delhi_15,North,True,7.0,0.5418861462103061
Brown Bun Pack,Harvest Gold,Bakery,247,25-06-2025,03-07-2025,5.0,10.0,0.99,donate,Chennai,False,No,False,Chennai_12,,,2.9,10.270561948039616
Kurkure Masala,PepsiCo,Snacks,283,12-06-2025,15-06-2025,0.5,12.9,1.0,donate,Chennai,True,No,False,Chennai_13,,,12.5,11.378239723077362
Brown Bun Pack,Harvest Gold,Bakery,32,24-06-2025,27-06-2025,0.5,21.3,0.6,monitor,Delhi,False,No,False,Delhi_16,North,True,14.9,19.37586535714822
Brown Bun Pack,Harvest Gold,Bakery,32,24-06-2025,27-06-2025,0.5,21.3,0.6,monitor,Delhi,False,No,False,Delhi_17,North,True,6.0,23.976512868572716
Lays Chips 100g,PepsiCo,Snacks,116,14-06-2025,22-06-2025,0.5,7.0,1.0,donate,Kanpur,True,Yes,False,Kanpur_14,,,2.9,5.999938443126327
Chicken Breast 500g,Godrej,Meat,100,26-06-2025,05-07-2025,7.0,2.8,1.0,donate,Kanpur,True,Yes,True,Kanpur_15,,,10.7,2.440977496682479
Fish Fillet 300g,FreshCatch,Meat,37,15-06-2025,18-06-2025,0.5,4.2,1.0,donate,Mumbai,True,Yes,True,Mumbai_5,West,False,2.2,4.632835114944544
Lays Chips 100g,PepsiCo,Snacks,116,14-06-2025,22-06-2025,0.5,7.0,1.0,donate,Kanpur,True,Yes,False,Kanpur_16,,,11.7,6.374635213367254
Nestlé Yogurt 150g,Nestlé,Dairy,201,23-06-2025,26-06-2025,0.5,20.1,1.0,donate,Mumbai,False,Yes,True,Mumbai_6,West,False,5.0,19.36241314112598
Bingo Mad Angles,ITC,Snacks,63,25-06-2025,02-07-2025,4.0,14.9,0.21,none,Mumbai,False,No,False,Mumbai_7,West,False,12.9,12.211658230858292
Multigrain Cookies,Sunfeast,Bakery,224,18-06-2025,29-06-2025,1.0,9.0,1.0,donate,Kanpur,True,No,False,Kanpur_17,,,5.8,10.21187760000722
Lays Chips 100g,PepsiCo,Snacks,116,14-06-2025,22-06-2025,0.5,7.0,1.0,donate,Kanpur,True,Yes,False,Kanpur_18,,,14.3,8.08786726529187
Amul Milk 500ml,Amul,Dairy,11,16-06-2025,28-06-2025,0.5,14.1,0.31,none,Chennai,False,Yes,True,Chennai_14,,,3.6,13.47911058697356
White Bread,Harvest Gold,Bakery,261,25-06-2025,04-07-2025,6.0,20.0,0.43,none,Bangalore,False,No,False,Bangalore_10,,,2.1,18.723659710900108
